Relish Burger Bistro - The Phoenician,http://www.opentable.com/relish-burger-bistro-the-phoenician?scpref=110&tab=2,4.1,"6000 E. Camelback Rd. Scottsdale, AZ  85251 ",15,American,$30 and under,Scottsdale,http://www.thephoenician.com/dining,00103ReservationsAgents@luxurycollection.com,(480) 423-2530,4.2 / 5,"I would recommend but only for the tableside S'mores. I thought the burger and tots were just ""ok"". The fried pickles had a tasteless batter that didn't stick well to the spear. The decor seemed very dated.",9/16/12,http://www.pickgrapevine.com/wantmore4/relish-burger-bistro-the-phoenician,relish-burger-bistro-the-phoenician
Bob's Steak and Chop House - Omni Tucson National Resort,http://www.opentable.com/bobs-steak-and-chop-house-omni-tucson-national-resort?scpref=110&tab=2,4.3,"2727 West Club Drive Tucson, AZ  85742 ",25,Steakhouse,$31 to $50,Tucson,http://www.bobs-steakandchop.com/tucson.html,abravo@omnihotels.com,(520) 877-2377,4.3 / 5,"This was my first time at Bobs and I arrived around 7pm on a Saturday and expected to see a valet to park my vehicle but drove through the drop off area right in front of the entrance and there was not a person in sight anywhere. I went ahead and parked my vehicle and had to walk from the parking garage to the entrance but I was questioning if I was at the right entrance because there was no one out front to great us or even open the door. Once we entered there was a girl at a computer who checked my reservation and sat us at a table. The food was good but for $117 dollars for two steaks, one salad and two sodas I was not impressed. For that money I expect a valet service and someone to open the door for me when I arrive.",9/22/12,http://www.pickgrapevine.com/wantmore4/bobs-steak-and-chop-house-omni-tucson-national-resort,bobs-steak-and-chop-house-omni-tucson-national-resort
Vito's Pizza,http://www.opentable.com/vitos-pizza?scpref=110&tab=2,3.8,"10999 N. Frank Lloyd Wright Blvd Scottsdale, AZ  85259 ",13,Italian,$30 and under,Scottsdale,http://www.vitospizza.com/,alexis@vitospizza.com,(480) 664-8260,3.8 / 5,Food is excellent. Try their thin-crust pizza. Servers Lori and Laura are top-notch.,9/21/12,http://www.pickgrapevine.com/wantmore4/vitos-pizza,vitos-pizza
Vito's Pizza and Italian Ristorante,http://www.opentable.com/vitos-pizza-and-italian-ristorante?scpref=110&tab=2,4.3,"1947 N. Lindsay Rd Mesa, AZ  85213 ",17,Italian,$30 and under,Mesa,http://www.vitospizza.com,alexis@vitospizza.com,(480) 832-3311,4.3 / 5,very satisfied overall.,9/12/12,http://www.pickgrapevine.com/wantmore4/vitos-pizza-and-italian-ristorante,vitos-pizza-and-italian-ristorante
SASSI,http://www.opentable.com/sassi?scpref=110&tab=2,4.4,"10455 E Pinnacle Peak Pkwy (Not Pinnacle Peak Road) Scottsdale, AZ  85255",131,Italian,$31 to $50,Scottsdale,http://www.sassi.biz,Angelab@sassi.biz,(480) 502-9095,4.4 / 5,"What an incredible place! The view, the ambiance not to mention the wonderful cuisine...and the service was first class. Our 2nd time visiting Sassi so apparently have become ""regulars"".",9/22/12,http://www.pickgrapevine.com/wantmore4/sassi,sassi
Bourbon Steak at The Fairmont Scottsdale Princess,http://www.opentable.com/bourbon-steak-at-the-fairmont-scottsdale-princess?scpref=110&tab=2,4.2,"7575 E. Princess Drive Scottsdale, AZ  85255 ",49,American,$31 to $50,Scottsdale,http://michaelmina.net/restaurants/locations/bsaz.php,anibal.macias@fairmont.com,(480) 513-6002,4.1 / 5,"The most tender and delicious steak I've had in years! Food is outstanding, and the service was impeccable.",9/22/12,http://www.pickgrapevine.com/wantmore4/bourbon-steak-at-the-fairmont-scottsdale-princess,bourbon-steak-at-the-fairmont-scottsdale-princess
Armitage Bistro,http://www.opentable.com/armitage-bistro?scpref=110&tab=2,3.8,"20751 N. Pima Road Suite 120 Scottsdale, AZ  85255",18,Contemporary American,$30 and under,Scottsdale,http://www.armitagewine.com,armitage@armitagewine.com,(480) 502-1641,3.8 / 5,"We have dined here before (appetizers and dinner) and feel like we did the last time... the food is good, the service is good but it seems to be a bit pricey. Perhaps it is the North Scottsdale pricing. We think we might return just for happy hour...",9/14/12,http://www.pickgrapevine.com/wantmore4/armitage-bistro,armitage-bistro
Armitage Wine Lounge & Cafe,http://www.opentable.com/armitage-wine-lounge-and-cafe?scpref=110&tab=2,3.9,"2905 E. Skyline Drive Suite 168 Tucson, AZ  85718",14,Contemporary American,$30 and under,Tucson,http://www.armitagewine.com,armitagetucson@armitagewine.com,(520) 682-9740,3.9 / 5,"I've been here a number of times, and always enjoyed it. It's a great place for a couple of glasses of Cabernet during happy hour. The flatbread is delicious too.",9/6/12,http://www.pickgrapevine.com/wantmore4/armitage-wine-lounge-and-cafe,armitage-wine-lounge-and-cafe
Buca di Beppo - Arrowhead,http://www.opentable.com/buca-di-beppo-arrowhead?scpref=110&tab=2,4.1,"16091 North Arrowhead Fountains Center Peoria, AZ  85382 ",48,Italian,$30 and under,Peoria,http://www.bucadibeppo.com,arrowhead@bucadibeppo.com,(623) 412-9463,4.1 / 5,It worked out very well. Mom enjoyed her Birthday. Thankyou so much.,9/16/12,http://www.pickgrapevine.com/wantmore4/buca-di-beppo-arrowhead,buca-di-beppo-arrowhead
Dillon's Arrowhead,http://www.opentable.com/dillons-arrowhead?scpref=110&tab=2,4.2,"20585 N. 59th Ave Glendale, AZ  85308 ",22,Barbecue,$30 and under,Glendale / Peoria,http://dillonsrestaurant.com/Arrowhead/index.html,arrowhead@dillonsbbq.net,(623) 566-8100,4.2 / 5,Had a very good dinner and will come back again sometime.,9/12/12,http://www.pickgrapevine.com/wantmore4/dillons-arrowhead,dillons-arrowhead
