name,url,rating,address,total_reviews,cuisine,price,neighborhood,website,email,phone,review_rating,review_description,review_dine_date,marketing_url,marketing_id
1910 Main - An American Bistro,http://www.opentable.com/1910-main-an-american-bistro?scpref=110&tab=2,4.3,"1910 Main St. Forest Grove, OR  97116 ",3,Contemporary American,$30 and under,Forest Grove,http://www.1910main.com/,1910main@live.com,(503) 430-7014,4.3 / 5,"The place was deserted, but we had a great meal.",7/22/12,http://www.pickgrapevine.com/wantmore2/1910-main-an-american-bistro,1910-main-an-american-bistro
RingSide Fish House - Fox Tower,http://www.opentable.com/ringside-fish-house-fox-tower?scpref=110&tab=2,4.1,"838 SW Park Ave Portland, OR  97205 ",225,Seafood,$30 and under,Downtown,http://www.RingSideFishHouse.com,admin.FH@RingSideHG.com,(503) 227-3900,4.1 / 5,"Appetizers were wonderful for the most part. Dungeness crab cakes were great, oysters were great, steak tartar however was mediocre. Chef's Special Rockfish was good, but overpriced. Had rockfish at a local restaurant for almost half the price that was better. The halibut was dry, overseasoned and overpriced. This was my second time here. First time was really good. This time, not so much. Wont recommend. Will not return. Will still recommend the steak house though.",8/18/12,http://www.pickgrapevine.com/wantmore2/ringside-fish-house-fox-tower,ringside-fish-house-fox-tower
RingSide Steakhouse - Uptown,http://www.opentable.com/ringside-steakhouse-uptown?scpref=110&tab=2,4.6,"2165 W Burnside Portland, OR  97210 ",362,Steakhouse,$31 to $50,Downtown,http://www.RingSideSteakhouse.com,adminDT@ringsidesteakhouse.com,(503) 223-1513,4.6 / 5,"Attentive service without being overly fussy, great menu options.. Incredibly good meal",8/17/12,http://www.pickgrapevine.com/wantmore2/ringside-steakhouse-uptown,ringside-steakhouse-uptown
Newport Seafood Grill - Lloyd Center,http://www.opentable.com/newport-seafood-grill-lloyd-center?scpref=110&tab=2,3.9,"1200 NE Broadway Portland, OR  97232 ",21,Seafood,$30 and under,Downtown Portland - NE,http://www.newportseafoodgrill.com,afields@r-u-i.com,(503) 493-0100,3.9 / 5,"We had a group of 17 (from White Rock, Canada) and went to the Newport seafood Grill to celebrate finishing the Seattle to Portland bike ride. The service and food were excellent - especially given that we had such a large group! Thanks for accommodating such a large group!",7/15/12,http://www.pickgrapevine.com/wantmore2/newport-seafood-grill-lloyd-center,newport-seafood-grill-lloyd-center
Sunday Antidote,http://www.opentable.com/sunday-antidote?scpref=110&tab=2,5,"337 NW Broadway Portland, OR  97209 ",3,French,$31 to $50,Pearl District,http://www.nwelixirs.com,andrew@nwelixirs.com,(971) 269-6681,5.0 / 5,I find the idea of sitting and watching the chef prepare our food and talk to us about what he's doing. He changed the menu at the last minute because of what he found at the farmers market. He is very passionate about food and would recommend this to anyone who is a foodie or wants a personal brunch experience.,6/3/12,http://www.pickgrapevine.com/wantmore2/sunday-antidote,sunday-antidote
Angel Thai,http://www.opentable.com/angel-thai?scpref=110&tab=2,4,"1900 NE Division Street #110 Bend, OR  97701",2,Thai,$30 and under,Bend,http://angelthaicuisines.com,angelthaicuisine@hotmail.com,(541) 388-5177,4.0 / 5,"Always yummy food. The Thai Salad with peanut sauce dressing is the best salad in Bend. The Orange Chicken is addicting. Most dishes, including the salad are big enough to share.",5/16/12,http://www.pickgrapevine.com/wantmore2/angel-thai,angel-thai
Larks - Home Kitchen Cuisine at The Ashland Springs Hotel,http://www.opentable.com/larks-home-kitchen-cuisine-at-the-ashland-springs-hotel?scpref=110&tab=2,4.3,"212 E. Main Street Ashland, OR  97520 ",82,Northwest,$30 and under,Ashland,http://www.LarksRestaurant.com,AvaD@AshlandSpringsHotel.com,(541) 488-5558,4.3 / 5,"As always, a most pleasant experience. It's tourist season here now and the restaurant was very busy at lunch time. But I still enjoyed every minute while there. I have a volunteer job at OSF, greeting visitors and answering questions about the theaters and Ashland. I always recommend Lark's because I know how much being at Lark's will add to the experience of a visit to Ashland and OSF.",8/17/12,http://www.pickgrapevine.com/wantmore2/larks-home-kitchen-cuisine-at-the-ashland-springs-hotel,larks-home-kitchen-cuisine-at-the-ashland-springs-hotel
Black Angus Steakhouse - Vancouver,http://www.opentable.com/black-angus-steakhouse-vancouver?scpref=110&tab=2,4.3,"415 E 13th St Vancouver, WA  98660 ",83,Steakhouse,$30 and under,"Vancouver, WA",http://blackangus.com,ba1013@blackangus.com,(360) 695-1506,4.3 / 5,"My husband ordered a steak meal and it was great. I ordered a salad with steak and it was okay. There really wasn't much lettuce and I did not like a warm steak on a cool salad. The only other issue was despite it being really slow at the restaurant, our service was pretty much non existent.",8/14/12,http://www.pickgrapevine.com/wantmore2/black-angus-steakhouse-vancouver,black-angus-steakhouse-vancouver
Portland City Grill,http://www.opentable.com/portland-city-grill?scpref=110&tab=2,4.4,"111 SW 5th Ave Portland, OR  97204 ",540,Steak,$31 to $50,Downtown,http://portlandcitygrill.com/page/home,banquets@portlandcitygrill.com,(503) 450-0030,4.4 / 5,"Undoubtably the best dining experience available in Portland. If you want to see how a restaurant should be go to the Portland City Grill. The Management and the Chef have developed teams that excel in the front of the house and back. The food....superb, imaginative, creative, delicious. A blend of flavors and nuances that delight, excite and leave you wondering why others cannot prepare food this good. The service...the best in Portland. Hands down, the best in Portland. Attentive, polite and professional. From the Host Staff to the Servers to the Management, everyone displayed professionalism in their jobs. This is where you go when you want to impress your friends, business associates or significant other.",8/15/12,http://www.pickgrapevine.com/wantmore2/portland-city-grill,portland-city-grill
El Gaucho - Portland,http://www.opentable.com/el-gaucho-portland?scpref=110&tab=2,4.3,"319 SW Broadway Portland, OR  97205 ",59,Steak,$50 and over,Downtown Portland - SW,http://www.elgaucho.com,bcoleman@elgaucho.com,(503) 227-8794,4.3 / 5,Me and my wife to dinner here for no specific reason but we had a good time and didn't want to leave until the end of the night. The music was good and i will be back again!,8/16/12,http://www.pickgrapevine.com/wantmore2/el-gaucho-portland,el-gaucho-portland
