123 Bolinas,http://www.opentable.com/123-bolinas?scpref=110&tab=2,3.5,"123 Bolinas Road Fairfax, CA  94930 ",2,Californian,$30 and under,Fairfax,http://www.123bolinas.com,dominic@123bolinas.com,(415) 488-5123,3.0 out of 5,"This is really a wine bar, not a restaurant. The tables and seating make for very uncomfortable arrangements. The menu is extremely limited. However, the food is very good.",09/09/2012,http://www.pickgrapevine.com/wantmore6/123-bolinas,123-bolinas
1300 on Fillmore,http://www.opentable.com/1300-on-fillmore?scpref=110&tab=2,4.0,"1300 Fillmore Street San Francisco, CA  94115 ",191,American,$31 to $50,Pacific Heights,http://www.1300fillmore.com,guestinfo@1300fillmore.com,(415) 771-7100,1.0 out of 5,Great appetizers but the Turkey meal option was so bad I ate a couple of bites and that was it! Turkey was so dry and tough I couldn't chew it. Small dollop of gravy and the sides were equally awful. I won't go back.,11/22/2012,http://www.pickgrapevine.com/wantmore6/1300-on-fillmore,1300-on-fillmore
1515 Restaurant & Lounge,http://www.opentable.com/1515-restaurant-and-lounge?scpref=110&tab=2,3.8,"1515 N. Main Street Walnut Creek, CA  94596 ",98,Californian,$30 and under,Walnut Creek,http://www.1515wc.com,info@1515wc.com,(925) 939-1515,4.0 out of 5,Great place for cocktails and appetizers. Excellent location for outdoor seating.,11/23/2012,http://www.pickgrapevine.com/wantmore6/1515-restaurant-and-lounge,1515-restaurant-and-lounge
19 Market,http://www.opentable.com/19-market?scpref=110&tab=2,3.9,"19 N Market San Jose, CA  95113 ",40,Vietnamese,$30 and under,San Jose,http://19market.com,19market@gmail.com,(408) 280-6111,5.0 out of 5,This is a quiet little restaurant. I have been there twice lately and both times the service was attentive and the food was excellent - a cut above the normal Vietnamese restaurant fare.,11/22/2012,http://www.pickgrapevine.com/wantmore6/19-market,19-market
231 Ellsworth,http://www.opentable.com/231-ellsworth?scpref=110&tab=2,4.2,"231 South Ellsworth Ave. San Mateo, CA  94401 ",59,Contemporary American,$31 to $50,San Mateo,http://www.231ellsworth.com,letusknow@231ellsworth.com,(650) 347-7231,1.0 out of 5,"We ate here for Thanksgiving dinner and were sorely disappointed. we had an Opentable reservation but still waited more than 30 minutes to be seated. When we were finally seated, we continued to wait -- for water, a member of the wait staff, any sign of attention.We finally ordered from a four course special menu. When our soup arrived, it was lukewarm. We sent it back, and when it returned, it was exactly the same tepid temperature. When we told the waiter, he shrugged. Our entrees were terrible: one slice of turkey with candied gravy and dried stuffing; salmon that was advertised as fresh and wild, but tasted several days old. the wines by the glass were outrageously -- unjustifiably -- expensive.",11/22/2012,http://www.pickgrapevine.com/wantmore6/231-ellsworth,231-ellsworth
25 Lusk,http://www.opentable.com/25-lusk?scpref=110&tab=2,4.2,"25 Lusk Street San Francisco, CA  94107 ",234,Contemporary American,$31 to $50,SOMA,http://www.twentyfivelusk.com,info@25lusk.com,(415) 495-5875,5.0 out of 5,I had my 50th birthday dinner here and was very happy. we were given a beautiful private room but as the walls were part glass we could still see the rest of the restuarant. The table was large which left plenty of room - no feeling cramped - nice! The service was great and all questions ( even the stupid ones ) were answered with grace. Love this restaurant:),11/17/2012,http://www.pickgrapevine.com/wantmore6/25-lusk,25-lusk
272 Soluna Cafe & Lounge,http://www.opentable.com/272-soluna-cafe-and-lounge?scpref=110&tab=2,3.7,"272 McAllister Street San Francisco, CA  94102 ",92,Californian,$30 and under,Civic Center / Hayes Valley / Van Ness,http://www.solunasf.com,info@solunasf.com,(415) 621-2200,3.0 out of 5,"The food was good, but very noisy and it is more of a sportsbar then restaurant. Suited for lunch or a very casual dinner on town. Very generous servings.",10/24/2012,http://www.pickgrapevine.com/wantmore6/272-soluna-cafe-and-lounge,272-soluna-cafe-and-lounge
2G Japanese Brasserie,http://www.opentable.com/2g-japanese-brasserie?scpref=110&tab=2,3.6,"601 Van Ness Avenue Suite F San Francisco, CA  94102 ",36,Japanese,$30 and under,Civic Center / Hayes Valley / Van Ness,http://www.2gjapanese.com,info@2gjapanese.com,(415) 292-9997,4.0 out of 5,"We went to this restaurant on Thanksgiving day. We were grateful that they opened on Thanksgiving and offered both Japanese food and turkey meal. However, the Japanese menu was limited and did not have the Japanese dish that we wanted. All the dishes were overpriced especially the turkey meal ($32 for 2 small slices of turkey, 1 bowl of fried rice, mashed potato, stuffing). We also ordered udon, grilled salmon, and a sushi roll. The sushi was fresh. The salmon was on the dry side. The udon broth was very salty.",11/22/2012,http://www.pickgrapevine.com/wantmore6/2g-japanese-brasserie,2g-japanese-brasserie
37 North,http://www.opentable.com/37-north?scpref=110&tab=2,3.6,"835 Airport Blvd Burlingame, CA  94010 ",21,Contemporary American,$30 and under,Burlingame,http://doubletree3.hilton.com/en/hotels/california/doubletree-by-hilton-hotel-san-francisco-airport-SFOAODT/dining/index.html,37North@hilton.com,(650) 373-2208,2.0 out of 5,"When we first walked in we thought it was a restaurant within the hotel with its own 4 walls but found it was literally tables set up inside the lobby. Food presentation stylishly done. The burgers and brussel sprout chips were fulfilling and portion size was generous. Go, if you dont mind watching people rolling luggage in and out of the lobby, from a distance. Validated parking was a plus although you have to wait at the front desk to get it.",11/17/2012,http://www.pickgrapevine.com/wantmore6/37-north,37-north
4290 Bistro & Bar,http://www.opentable.com/4290-bistro-and-bar?scpref=110&tab=2,2.3,"4290 El Camino Real Palo Alto, CA  94306 ",4,American,$30 and under,Palo Alto,http://www.cabanapaloalto.com/dining,4290bistro@cabanapaloalto.com,(650) 628-0145,2.0 out of 5,"food was terrible. the bacon crumbled to pieces with the touch of the tongs it was so overcooked. servers were nice though, which made up for the eggs swimming in broth. for the prices versus quality, the breakfst should at least be complimentary.",10/18/2012,http://www.pickgrapevine.com/wantmore6/4290-bistro-and-bar,4290-bistro-and-bar
