20nine Restaurant & Wine Bar,http://www.opentable.com/20nine-restaurant-and-wine-bar?scpref=109&tab=2,4.1,"255 E Basse Rd Ste 940 San Antonio, TX  78209 ",27,Contemporary American,$30 and under,Alamo Heights,http://www.20ninewine.com,info@20ninewine.com,(210) 798-9463,4.0 out of 5,This is a great place for a romantic evening or a social gathering. Be prepared to spend about $100 for 2 but it's worth it. The goat cheese is wonderful by the way.,7/14/12,http://www.pickgrapevine.com/wantmore/20nine-restaurant-and-wine-bar,20nine-restaurant-and-wine-bar
Acenar,http://www.opentable.com/acenar?scpref=109&tab=2,3.9,"146 East Houston San Antonio, TX  78205 ",127,Contemporary Mexican,$30 and under,Downtown,http://www.acenar.com,keith@acenar.com,(210) 222-2362,3.9 out of 5,Ok food. Drink prices were outrageous. Pretty dissapointing.,7/21/12,http://www.pickgrapevine.com/wantmore/acenar,acenar
Achiote - Grand Hyatt San Antonio,http://www.opentable.com/achiote-grand-hyatt?scpref=109&tab=2,4,"600 E. Market St. San Antonio, TX  78205 ",51,Latin out of Spanish,$30 and under,Downtown,,satgh@hyatt.com,(210) 224-1234,4.0 out of 5,"For our first visit, we went specifically for the daily buffet. We arrived @ 130P, the buffet ends @ 200P, and we NEVER felt rushed; instead, all of the food, including the beef tenderloin, lamb, chicken sausage, and the guy that carves them, stayed available until we were finished. We enjoyed *everything* that we ate. Of special note was our server, Beth - attentive but not too, friendly but not too, available but not too - we hate ""hovering,"" and Beth was perfect in every way. She is also a genuinely interesting & delightful person. My partner and I felt completely comfortable w/ her, and w/ all of the staff @ Achiote. We will definitely return on our next visit to SA - may even go back for dinner tomorrow.",7/9/12,http://www.pickgrapevine.com/wantmore/achiote-grand-hyatt,achiote-grand-hyatt
Aldino Cucina Italiano,http://www.opentable.com/aldino-cucina-italiano?scpref=109&tab=2,4.5,"1203 N Loop 1604 W  #101 San Antonio, TX  78258 ",33,Italian,$30 and under,North San Antonio,http://aldinos.com,a4pasta@sbcglobal.net,(210) 340-0000,4.5 out of 5,"The best flounder we've ever had! - fresh, moist and perfectly prepared with a light, delicious sauce. Our waitress was charming, friendly and extremely efficient. We highly recommend this restaurant.",7/1/12,http://www.pickgrapevine.com/wantmore/aldino-cucina-italiano,aldino-cucina-italiano
Aldo's Ristorante Italiano,http://www.opentable.com/aldos-ristorante-italiano?scpref=109&tab=2,4.7,"8539 Fredericksburg Rd San Antonio, TX  78229 ",20,Italian,$31 to $50,North San Antonio,http://www.aldos.us/,Aldos@satx.rr.com,(210) 696-2536,4.7 out of 5,"Beautiful restaurant set in an old residence. Although on a busy street, it is well shielded by trees which keep the interior quiet and provide an nice view. We ate inside, but there is a nice, shaded patio dining area.",7/16/12,http://www.pickgrapevine.com/wantmore/aldos-ristorante-italiano,aldos-ristorante-italiano
Antlers Lodge,http://www.opentable.com/antlers-lodge?scpref=109&tab=2,4.6,"9800 Hyatt Resort Drive San Antonio, TX  78251 ",28,Steak,$31 to $50,North San Antonio,http://www.hyatt.com/hyatt/images/hotels/sanhc/antlerslodgemenu.pdf,david.cantu@hyatt.com,(210) 520-4001,4.6 out of 5,Great food and the hotel is a beautiful place to walk off that great meal!,7/7/12,http://www.pickgrapevine.com/wantmore/antlers-lodge,antlers-lodge
Bella...On The River,http://www.opentable.com/bellaon-the-river?scpref=109&tab=2,4.4,"106 River Walk San Antonio, TX  78205 ",99,European,$31 to $50,Downtown,http://www.bellaontheriver.com,bellaontheriver@gmail.com,(210) 404-2355,4.4 out of 5,"Our experience at Bella was magnificant. Our waiter was very knowledgeable and appeared to be a seasoned waiter. His service was perfect, just attentive enough. The prices were good as well. My hubby and I went for a ""get away"" week end and we will return. Thank you Bella",7/21/12,http://www.pickgrapevine.com/wantmore/bellaon-the-river,bellaon-the-river
Biga on the Banks,http://www.opentable.com/biga-on-the-banks?scpref=109&tab=2,4.6,"203 S. St. Mary's St. San Antonio, TX  78205 ",237,Contemporary American,$50 and over,Downtown,http://www.biga.com,reservations@biga.com,(210) 225-0722,4.6 out of 5,Biga has a great reputation and for good reason. The food is above average (the oyster appetizer is fantastic) and the service is top drawer. It is rather loud and th arrangement for large parties leaves a little to be desired. However over all an excellent evening of great food and wine. I would strongly recommend it for those visiting the Alamo City.,7/21/12,http://www.pickgrapevine.com/wantmore/biga-on-the-banks,biga-on-the-banks
Bliss Restaurant,http://www.opentable.com/bliss-restaurant?scpref=109&tab=2,4.6,"926 S Presa Street San Antonio, TX  78210 ",292,Contemporary American,$31 to $50,Downtown,http://www.foodisbliss.com,info@foodisbliss.com,(210) 225-2547,4.6 out of 5,"Our meals were delicious! We started with oyster sliders and duck egg rolls. They, along with our meals (scallops & tuna) were incredible! The atmosphere is modern, hip, and unique - highly recommend trying Bliss!! We will be back.",7/21/12,http://www.pickgrapevine.com/wantmore/bliss-restaurant,bliss-restaurant
Bohanan's Prime Steaks and Seafood,http://www.opentable.com/bohanans-prime-steaks-and-seafood?scpref=109&tab=2,4.7,"219 East Houston Street Suite 275 San Antonio, TX  78205",261,Steakhouse,$31 to $50,Downtown,http://www.Bohanans.com,Bohanans@aol.com,(210) 472-2600,4.7 out of 5,"The food was good and the service excellent. The decor is nice, but the lack of attention to detail during the construction phase of decorating is obvious. The interior design is also lacking a certain elegance that is more common in upscale dining in NY.",7/13/12,http://www.pickgrapevine.com/wantmore/bohanans-prime-steaks-and-seafood,bohanans-prime-steaks-and-seafood
Bourbon Street Seafood Kitchen,http://www.opentable.com/bourbon-street-seafood-kitchen?scpref=109&tab=2,4.6,"2815 North Loop 1604 E. San Antonio, TX  78232 ",7,Cajun,$30 and under,North San Antonio,http://www.bourbonstreetseafoodkitchen.com,,(210) 545-0666,4.6 out of 5,My favorite cajun seafood restaurant!,5/25/12,http://www.pickgrapevine.com/wantmore/bourbon-street-seafood-kitchen,bourbon-street-seafood-kitchen
Brannon's Cafe,http://www.opentable.com/brannons-cafe?scpref=109&tab=2,3.4,"16641 La Cantera Parkway San Antonio, TX  78256 ",5,American,$30 and under,North San Antonio,http://www.westinlacantera.com/dining.html,lonnie.caldwell@westin.com,(210) 558-2443,3.4 out of 5,"Typical Texas hotel food, except probably pricier since it's a Westin.",7/16/12,http://www.pickgrapevine.com/wantmore/brannons-cafe,brannons-cafe
