Relish Burger Bistro - The Phoenician,http://www.opentable.com/relish-burger-bistro-the-phoenician?scpref=109&tab=2,3.7,"6000 E. Camelback Rd. Scottsdale, AZ  85251 ",21,American,$30 and under,Scottsdale,http://www.thephoenician.com/dining,00103ReservationsAgents@luxurycollection.com,(480) 423-2530,3.7 out of 5,"I would recommend but only for the tableside S'mores. I thought the burger and tots were just ""ok"". The fried pickles had a tasteless batter that didn't stick well to the spear. The decor seemed very dated.",7/13/12,http://www.pickgrapevine.com/wantmore/1,1
Tossa,http://www.opentable.com/tossa?scpref=109&tab=2,4,"2400 Araphoe Ave Boulder, CO  80302 ",9,Italian,$30 and under,Boulder,http://tossapizza.com,1001@tossapizza.com,(720) 214-3254,4 out of 5,"We decided to try this place since we made a last minute decision to eat in Boulder. Our favorite places didn't have any open reservations. There were only two pizza sizes large or small. The large was way too big for two people. The wood holder for the pizza took up most of the table and was uncomfortable for the third person in our party tto eat his pasta. The pizza was okay- could have used just a bit more cheese. One of our toppings was spinach. It wasn't cooked with the pizza, but was tossed on top. There was so much of it, it was hard to eat the pizza. Service was drop and go, but the waitress was friendly. There are so many better options in Boulder. This is a last resort.",5/27/12,http://www.pickgrapevine.com/wantmore/2,2
1862 David Walley's Restaurant and Saloon,http://www.opentable.com/1862-david-walleys-restaurant-and-saloon?scpref=109&tab=2,3.9,"2001 Foothill Road Genoa, NV  89411 ",9,American,$31 to $50,South Shore,http://www.1862davidwalleysrestaurantandsaloon.com,1862DavidWalleys@summerwindsresorts.com,(888) 737-1862,3.9 out of 5,"Unusual locale cuisine items, ample portions, great presentation, very well prepared and delicious, perhaps a bit pricey. Service was great without being fawning.",7/4/12,http://www.pickgrapevine.com/wantmore/3,3
19 Market,http://www.opentable.com/19-market?scpref=109&tab=2,3.9,"19 N Market San Jose, CA  95113 ",39,Vietnamese,$30 and under,San Jose,http://19market.com,19market@gmail.com,(408) 280-6111,3.9 out of 5,The food here was absolutely fabulous. I have not been to any Vietnamese place that has this good food. Ana Mandara is good but this is better.,6/29/12,http://www.pickgrapevine.com/wantmore/4,4
One Pico,http://www.opentable.com/one-pico?scpref=109&tab=2,4.3,"1 Pico Blvd Santa Monica, CA  90405 ",133,Californian,$31 to $50,Santa Monica,http://www.shuttersonthebeach.com,1picoreservations@shuttersonthebeach.com,(310) 587-1717,4.3 out of 5,"We chose a restaurant with a coastal sunset.Dine LA week;we ordered both choices from the prix fixe menu. My peach starter:The unripe peaches were served grilled, but harder than an apple. On the other hand, my husband's ceviche was delicious. For the entrees: I had salmon,topped and overpowered by a chopped tomato topping that tasted like it came out of a can. The other entree had a nearly inedible,tough,chewy steak and very tender well-seasoned roast beef, but the eggplant was like leather. The meal was saved by dessert:Olive oil cake with a whole blueberry drizzle and a hazelnut mocha pastry,and rich chocolate lava cake gratis for our anniversary. Bravo to their pastry chef. Our server had a disapproving manner. Return for dessert only!",7/17/12,http://www.pickgrapevine.com/wantmore/5,5
Ashoka Indian Cuisine,http://www.opentable.com/ashoka-indian-cuisine?scpref=109&tab=2,4,"2034 Chestnut St San Francisco, CA  94123 ",2,Indian,$30 and under,Marina / Presidio,http://ashokasf.com/,2034chestnut@gmail.com,(415) 567-8124,3.5 out of 5,"We were the only party eating there for lunch on a sunny Saturday. The owner (who is also the chef?) was friendly. We had the goat curry and the Chicken Tikka Masala and the Tandoori chicken. The plates are small for the price and, although I guess the area is more expensive in general, 3 pieces of thigh meat does not equal 1/2 chicken which is how the Tandoori chicken was described. The curries were delicious, not the flavors I expected, but also not spicy at all. Naan was great, but $2.50 for 1 piece?? Overall, can't fault the food but I'll still go elsewhere next time.",3/3/12,http://www.pickgrapevine.com/wantmore/6,6
315 Restaurant & Wine Bar,http://www.opentable.com/315-restaurant-and-wine-bar?scpref=109&tab=2,4.4,"315 Old Santa Fe Trail Santa Fe, NM  87501 ",62,French,$31 to $50,Santa Fe,http://315santafe.com,315restaurant@gmail.com,(505) 986-9190,4.3 out of 5,"My French husband and I truly appreciated the French flair of the restaurant as well as the food itself and the presentation! We had the duck and the lamb, followed by the creme brulee and the pots de creme, and shared all with each other. The duck and the lamb were outstanding paired together, as well as the desserts! I would actually suggest them as pairings in a single dish for the menu. We originally were going to have the beef, which was mentioned on the specials board, but were surprised to learn upon requesting it to the waitstaff, that it would take 40 minutes to prepare, even rare, which is our preference. It would have been nice to have this mentioned on the board as well as the menu.",7/19/12,http://www.pickgrapevine.com/wantmore/7,7
Houlihan's Restaurant - Dallas,http://www.opentable.com/houlihans-restaurant-dallas?scpref=109&tab=2,3.7,"5225 Belt Line Road Suite 220 Dallas, TX  75254",42,American,$30 and under,Addison,http://www.houlihans.com/LocateUs.aspx?Region=Texas,3166@houlihans.com,(972) 386-0689,3.7 out of 5,We love Houlihan's. Great food and excellent service by Heather. Would love to see some specials for dinner - if only on weekends. Thanks.,6/29/12,http://www.pickgrapevine.com/wantmore/8,8
Houlihan's Restaurant - Garland,http://www.opentable.com/houlihans-restaurant-garland?scpref=109&tab=2,4.3,"600 Town Center Boulevard Garland, TX  75040 ",30,American,$30 and under,Garland,http://www.houlihans.com/LocateUs.aspx?Region=Texas,3171@houlihans.com,(972) 530-7804,4.2 out of 5,Food quality and service were very good!,7/3/12,http://www.pickgrapevine.com/wantmore/9,9
Houlihan's Restaurant - Arlington,http://www.opentable.com/houlihans-restaurant-arlington?scpref=109&tab=2,4.1,"401 E. I-20 Hwy. Arlington, TX  76018 ",15,American,$30 and under,Arlington,http://www.houlihans.com/LocateUs.aspx?Region=Texas,3172@houlihans.com,(817) 375-3863,4.1 out of 5,Great restaurant with amazing menu! The almond crusted tilapia is fantastic!,6/21/12,http://www.pickgrapevine.com/wantmore/10,10
